,text,label
16,"Менің ізбасарларым 44 елде: Мальдив аралдары (80%), АҚШ (5%) ... https://t.co/5KlvSQHAd8 Тегін картаңызды біліңіз! <a href=""https://t.co/YzCovzCUUp"">https://t.co/YzCovzCUUp</a>",1
17,"БІРІНШІ: # АльШабааб содырлары # Ламу қаласы # Ауыл ауылының маңында # Кения шоғырларын ұстау, ауыр күндер, құрбандық және күтулер ...",1
18,"#IS Ирак армиясына көп еңбек сіңірген болсаңыз, бүгін # Рамадтың солтүстігін құрбан етіп, оның Тарабына кіріңіз. Https://t.co/2tXssow8Tm",1
19,Әлемнің жазасыздығы бар мега террорист. Ол алғашқы топтарын # Лебаноннан өлтіруге шақырды; Асад үшін сириялықтарды аштық. #Syria ht…,1
20,Фаллужа (Ирак) мұсылмандарының жолдауы -: «Біз таңертеңгілік және кешке бомбала. Біздің арманымыз шейіт болып келеді ».,1
21,"Сізге алғашқы Сирияға, Иракқа, Ливияға қол жеткізіңіз, берілмеңіз, # Йеменге (Вилаят Хадрамаут) қақпаларыңыз ашылып, сол жерге барыңыз. #IS",1
22,"ISIS балалық шақтары толық уақытты қалыптастырады, олардың уақытты арттырады, ETC-ге бомба жасауды үйренеді .. # ...",1
23,"# YPG / PKK әскери топтары жедел қауіпсіздік ... #Turkey & amp; бомба жасау # Истанбулдағыдай тұрғындар #SultanAhmed <a href=""https://t.co/kyMLtYd358"">https://t.co/kyMLtYd358</a>",1
24, «Біз жеңіске жетпейміз немесе өлмейміз» Омар Мұхтар Рахимулла - Жеңіс туралы ашулар Pt 4 - Британдық & amp; Француз крест жорығы ...,1
25,"Сізге опасыздық жасаған адамдарды ұмытпаңыз, мұсылмандар В.С. жақында қайтып келеді IA біз үшін дуа жасайды https://t.co/k21GZPEl0B jzk HTTP ...",1
26," #IS кінәлі болса да, күнтізбелер бойынша байланыс. Оларға жаңа куфрлар дайындалып жатыр, тәжірибе жалған және жалған күнәкарларды айыптайды.",1
27,"Қызыл ледоны Қызыл ауданға айналады, мұнымен айналысуға болады, bt sill #LidoBeachAttack shld.",1
28,"#YPG #PKK #TwitterKurds: Түркістандық балаларды қорғайтын мылтықпен қоршау, террористік элемент 4 м. <a href=""https://t.co/rW2CFaouBk"">https://t.co/rW2CFaouBk</a>",1
29,"# Хомс Захра аймағы: Қашықтан басқарылатын басқарылатын автомобиль бомбасы, оның орнына келесі жанкештілік табылды. #Syria <a href=""https://t.co/4lqh7MBLcD"">https://t.co/4lqh7MBLcD</a>",1
30,"Екі #Israel | мен әскер тікұшақтары # Египет | Қабырғаға жаңа күн келді, # Синайда Шейх Зувейдтің оңтүстігінде #ISIS позициясы бомба болады.",1
31,"қозғалыскер #drones, мен-ақ, # Египет | ian Қаңтардағы жаңалықтар күні, # Синайда Шейх Зувейдтің оңтүстігінде #ISIS позасы бомба болады.",1
32,Иран терроризміне қарсыласу арқылы байланыстыру керек,1
33,Сиятак аймақ және Алжику арқылы сіздің Сафави әскерінің казармаларын бомбалау.,1
34,n сізді ең алдымен кез-келген жерде жақсарту # түрік әскерлерінің әскерлеріне оқ жаудырады. Себептері әлі белгісіз,1
35,"Германиядағы мигранттар орталығы гранатаға лақтырылды, зорлық-зомбылық күшейе түседі.",1
36,Сирия оқулары танкке қарсы зымыранмен мені # Алеппо қаласының Н. елді мекендегі # Кувейрис авиабазасынан батыс қатынасы Вадия ауылында жою.,1
37,ауылындағы # Хашд рафиди казармаларын үй зымырандарымен бомбалау,1
38,Хезболластарымен өлімге қол жетімді.,1
39,Мен Дамаскідегі халықаралық мазарының жанында милиционерлерді бомбалауды Асад режиміне «қастық үшін» деп айтамын.,1
40,"ISIS террористтерімен қақтығыстардың алдында, Солтүстік Сириядағы соғысушылар.",1
41,"Абрамс танк пен минаны тазартатын машиналар, мен-ак жаяу және жаяу әскерге қарсы машиналарды жою",1
42,"Халқалаһ_алғаем аймағында рафидтік күштердің тобына көптеген адамдарды өлтіріп , жарылғыш жаралайтын заттың жарылуы",1
43,"Араб мемлекеттерінің азаматтары үшін ұзақ уақыттық іздестіру үшін қарама-қайшылыққа қарсы тұру үшін, әскери күштердің әскери қызметшілері шекарадан тыс жерлерге бару; оларды өлтіру",1
44,Хашдағы шиіт серіктестіктері - суннит күшті балтамен кесу.,1
45,"Alshabaab пен AQAP-тың айырбастауы - фреш Алшабабпен араздасқан болсаңыз, фит-фт, бақхи-са, ал саған өлген адам bt AQAP-тің тыныштық сыйлығын алады",1
46,Саудия Сирияға ИС-қа қарсы коалиция құруға дайын: генерал: Сирия Аль-Нусрах майданына көмек # Асад күштері # Ахадинде # Алеппода суицидтік картрит картасы,1
47,# Сирия бүлікшілері Nussrah nussrah өлім-жітім бомбасынан кейін #hardatnin ауылына Есіл жасамақшы,1
48,"Квейресте Асадпен соғысы, күндізгі айтылған сияқты солтүстікке қарай бір аймақты алуы мүмкін. Көңіл көтерушілерге сәттілік пен қауіпсіздікті қамтамасыз ету",1
49,Исламистсіз ФСА мен сириялық оппозицияның мұндай күндерін ешқашан жасамаңыз. «АҚШ көмегі» үшін опасыздық жасаңыз,1
50,АҚШ-тың қорғаныс миниері: «Біз Сауд Арабиясының # ISIS-пен күрес құрбандары үшін құрбан боламыз,1
51,#BREAKING Жуырда #Aazaz баллистикалық зымыраны. Он мың маман # босқындар күтетін қала ...,1
52,"Соңғы 4 айда # Кувейрлердің айналасында # Асад армиясына қарсы тұру #ISIS - бұл қолмен ұстау #Syria <a href=""https://t.co/gumZBccA5L"">https://t.co/gumZBccA5L</a>",1
53,"«Немесе кеме батып кетеді». Иә, шынымен де Мохейсни, немесе кеме батып кетеді. Нубль / Закрастарды тағылымдамамен байланыстыратын күн - бұл ...",1
54,"Сізге Зинки тобы батып бара жатыр, Тавагитке сәлем мен қош келдіңіз. Бару жолы!",1
55,Сіз өз армияңызды «ИС» -ке қарсы тұруға бел аласыз ба? Осы қорапшаңызды жақын арада бастауға болады.,1
56,"Мен Пәкістанның ауру-сырқау, өтірікші және шиа кешірімімен Асад режиміне күресу үшін арнайы алаңда жұмыс істеймін.",1
57,"Туған Нью-Йорк Таймс мұны түсінеді, бір-бір Ресей, Иран, Асад & amp; Хизбулла Алеппода көтерілісшілері алға алға жылжуда",1
58,"RT @ Байланыстар: ISIS: Әйел #ParisAttacks көшбасшысы. Веб-экипаж #ISIS арқылы Еуропаға менің кіргенім айтты <a href=""https://t.co/cxULKuMnzU"">https://t.co/cxULKuMnzU</a>",1
59,олар өз қалаларын жақындайды және олардың жоспарларын ұсынады,1
60,# ISIS-пен құрамдас бөлігі 'Amaq News: 5 адам Аль-Багдади қаласынан солтүстік-батысқа қарай пайда әкеледі # Анбар-тұрақты тұрғын үйде 5 адам өледі ...,1
61,"Біз «Үмітсіз өмірден» «сәтті үмітке» көшіп, қол жеткізіп, қайтып оралыңыз. @ reportyor0a @ khalidi_4_sham",1
62,"Квейрлерде қоршауды көтеруге арналған күн жақын & amp; Нубл / Захра тілдесу болды. Алдымен 40 күн, 40 сағат қайтарылды. ",1
63,"Видеода Талбише, Хомс, бір түнде кластерлік оқ-дәрістерге байланысты оқу https://t.co/ckYYSd5J3m <a href=""https://t.co/2yMdRJkHuC"">https://t.co/2yMdRJkHuC</a>",1
64,"Ресей Сириядағы барлық күнтізбелік хат жазылады, Асад тағайындалғаннан кейін бомбалауды қабылдайды.",1
65,# DeirEzzor24 #AlbuKamal #ISIS адам өліміне арналған аймақ # ,1
66,"BREAKING: Түркия шекарасында 35000 сириялық босқын күтіледі, 55 мың жол жүреді.",1
67,"Малик, Африди, Мисбах, Омар, Жақсы, жақсы оқитын жастар, келушілер, олардың спринтерлерді жақсы ойнау күндерін сатып алу қажет",1
68,"#ISIS Алеппо, Аль-Каламун, Ладияхия және Әл-Бадия қалаларында Джабхат Нусраның ресейлік телеграмма арналарын бұзады. https: /…",1
69,"#ISIS # Ливия-да көшеде болады .. <a href=""https://t.co/tBShWM5x1x"">https://t.co/tBShWM5x1x</a>",1
70,Осымен ИС аумақтарының қоршау қауымы аяқталды,1
71,сәлем! Олар есірткі апиын гашишін сатады. 1 кг апиынға 12-ден 47 күнге дейін. Олар бандыларды араластырады,1
72,"Obama Tayau шығыстары басқа елдердің азаматтарының көтерілуі керек <a href=""https://t.co/hv3nS5jMX1"">https://t.co/hv3nS5jMX1</a>",1
73,"Башар Асадқа анасын жерлеу күні және қастандық жасау. #Syria <a href=""https://t.co/i4EVgfC8Se"">https://t.co/i4EVgfC8Se</a>",1
74,"Анықталмаған мәліметтер бойынша, фашистік #YPG террористік тобы мен меніңді қорғайтын базасын ауыртады #Russia | n бомбалаудан кейін алды .. #Aazaz #Syria #TwitterKurds",1
75,"мұнымен келіспесеңіз де, мұнымен байланысты емес, достарыңызға, жаман адамдарға жамандық орнатыңыз",1
76,"Егер сіз АҚШ-қа сапар жасасаңыз немесе Батыс Асад режимін құлыптанған болсаңыз немесе сіз оны құлыпқа қайтару туралы ойласаңыз, жақын арада.",1
77,"жаттығу жасаушыларға, балалар мен студенттерге күшті беттер ұсынылды, олармен бірге Ирак арасында алауыздықты қолданыңыздар & amp; Сириялық Джад.",1
78,"Бір рет FSA & amp; YPG АҚШ-пен ИС-қа қарсы соғысады, YPG Ресей Федерациясымен қарым-қатынаста болады, олар FSA-мен басталды және FSA бірлестігі серіктестігі туралы анықтама, өлімге дайындық.",1
79,#USA MI Abrams-тың танктері бар #Iraq аймағында тұрақсыз секталық шиіт жасақтарына жұмыс жасау .. https: //…,1
80,"# Синайдағы оқу-жаттығу жиналысының сабақтарына назар аударып, отырыңыз, #ISIS-тің күндізгі кірісі ...",1
81,"#ISIS # Ауғанстан-тез дамып келеді, #Paktia өте күшті талантты бекініс командасы IS & amp үшін күрес алаңы болып табылады. ",1
82,"Солтүстік # Рамадиға жаппай жол ашылады #Iraq әскерін өлтіріп, казарманы өртеп жіберді. ",1
83,Қызыл жарылды шешен қолбасшы ретінде Ливиядағы ИШИМ тобымен күресу айтылды https://t.co/JdPKajy5SU #Caliphate_News,1
84,Бұл қымбат емес сұрақ. Бұл «революция» қағидасының өзгеруі. Бізге дауыс беру үшін күресуіміз керек,1
85,"Ирактың жетекшісі Фуад Маусумның 3 күзетшісі # Амирлияның оңтайлы азаматы # Киркук, # Ирак маңында балалар ұстайды.",1
86,YPG-ге негізделген 4-ші тұрақты тұрғын үйге нұқсандық жазба орнынан және мүшелерінен айырылады.,1
87,"Ассадтың барлық елді мекеніне барып, тәжірибе алыңыз. Хаха бүлікшілердің есектері шапалақтайды. Франциямен келіссөздер туралы келісім. ",1
88,"Ассадаттың жеңіске жетуіне жол бермейді, оппозицияны # ИсламСтаты - айыптайды ...",1
89,"Фалляжаның 1-ші және 2-ші шайқаларын қайтарамыз, мен Науханда қайтып келемін деп ант етемін. Міне, Сафави Рафида",1
90,"Бұл әр күн сайын жатыр. 21 SAA содырлары өлтірілді; # Асад армиясы # Махинге жақында 3 танк. #Syria <a href=""https://t.co/qyghTqcwx8"">https://t.co/qyghTqcwx8</a>",1
91,Жаңа оқу күніне дейін олармен бір мамырдан бастап соғысқанымызды мақтан тұтамыз және бір көшбасшылыққа жиналдық.2 / 2 #Caliphate_News #DemDebate #IS #syriaCeinfire,1
92,"#YPG мемлекетесі # Арфин жаттығуларының аяқталуы, Түркияның орнына дайын / Террористер <a href=""https://t.co/GkPsgnPROf"">https://t.co/GkPsgnPROf</a>",1
93,Жолдан тайған әскер мен Рафиди Хашдты Каталюша зымырандарымен #alAsmadah алаңының 1/2 алаңында соғыс.,1
94,"Тағы бір T72 танкі жойылды. Казармалар жанып жатыр, қайтадан оралған база. Альфа 1 сәттілік, Чарли үнсіз. Роджер, бұл мүмкін емес !!!",1
95,#ISIS Menagh авиабазасын алды; Қылмыс әні ФСА-ның бандалары бұл пышақтап демалысқа кетеді # Allepo-да күресуге дайынмын. Артқы жағымда менде осындай Scum-ға 0 жанашырлық бар.,1
96,"назар аударыңыз, FSA YPG шариғат заңын ойнауы керек, адам өлтіру керек, хахахахахахахаха https://t.co/hN9QWPFcjZ",1
97,YPG жанкүйерлері Түркияның Азаз ауруханасына бомба қойылады. Бұл Ресей. YPG жанкүйерлері: Бұл террористтердің ауруханасы болды. http ...,1
98,Бұрынғы #USA #CIA шенеунігі: # Саудияның # Пакистанда ядролық қауіпті бомба бар https://t.co/V4VVUoHnt6,1
99,Марея бүлікшілері қаланы YPG-ге тапсырады,1
100,#ISIS #Aamaq бүлікшілерінің солтүстігінде # Алеппода ISIS-тің қорғаныс күні https://t.co/RBgRXefysg,1
101,кез келген наурыз айы қоршау. ,1
102,"О, бүлікшілер! Сіздің назарыңызға МАР-ны ИС-қа берсеңіз, Фитнес-мүшелермен қарым-қатынасыңыз қажет және Мосулдың шет-жақтарынан тірі болу керек (19)",1
103,жақсы шайқастарында кластерлік бомбалармен бомбалайды .. https://t.co/ApxJPX9nrV,1
104,"тақырыптар бойынша өздерін пышақтап тастайды<a href=""https://translate.google.com/translate?hl=ru&prev=_t&sl=en&tl=kk&u=https://t.co/2MUYGSuk7N"">https://t.co/2MUYGSuk7N</a>",1
105,бомбалар мен блокадалар Газаның су тасқынының орнына барлық күшейтеді https://t.co/LZFQiwX6nA https://t.co/5zylzMGOA4,1
106,Моуланаға қарсы күрес жекпе- жегі Масуд Азхар Пәкістанда Патанкот Күніне қарсы тұрады,1
107,"Суреттерде PYD / YPG Сириядағы Амудиде Түркияға соғыс жариялайды, Анкара бомбалы - туған қаласы https://t.co/mcmDuyHcqm https: // t…",1
108,"@thedailybeast yday day #Obama Ливиядағы # IslamState-Qabr '' Жаулаудан бас тарту туралы хабарлама келді, #US денсаулығы осылай жасалды ...",1
109,Кофар жазықсыз нысандарды ашады,1
110,# Түрік # Алепподағы джихадшыларды қолдауды қолдайды (Екі адам оны жарылқайды) Тозды сіздің жақын маңыңызда #Syria https://t.co/bZM8lCb7Ma,1
111,"Анвар Авлаки: «Бір топ адамдармен келіссөздер, екі жақты бұзушылықтар, тауарлардың импичменті # ISIS-те қайтып келеді»",1
112,Бұл TAK адамдарды # Түркия-ге бармақ шақырады; жақсы; Мен осы жазда барамын & amp; әрдайым ұрыста & amp; біздің «күрд» қаласы #TwitterKurds,1
113,# ISH-тің күштері # ISIS-тің күші позицияларымен # Либияда соғыс күші түсуде. #IS қалайды,1
114,«Сізге олармен жақсы қарым- қатынаста болады » # 1400 жыл бұрын Түркия туралы ескертіледі. АҚШ-тың денсаулығы «usa» қару-жарақ жоқ деп санайды,1
115,АҚШ тобыр бомба болады. Алдағы кез-келген аймақтық сапарды түсінуге болады. https://t.co/aqGeaTnY8b,1
116,"Шамасы, мұсылман балаларын бомбалаған дұрыс. https://t.co/2B3wSAG1un",1
117,"Бір аптаның ішінде үш адам бір-бірімен алмастырылды, олар ауылдарда есеп айырысады # Пакистан армиясы # Вакиристан БК-тин Спинкай Рагзай аймағында",1
118,"#YPG және #SDF, Рас аль Айн айналасында шегінуде, #ISIS өздері үшін. Бұл адамдарға қарсы. htt ...",1
119,"Құрметті ізбасарлар, аяулы күндеріңіз #YPG немесе #Assad деп тұрыңыз ... !!!!!! https://t.co/76rHtWXI3o",1
120,Атеистердің шынайы ғибадатханасының негізін жою # Бангладеш,1
121,#AlQassam Суицидті жақтаушылар құрамы #Gaza туннельдерінде ФРГ # Израиль сарбаздарын өртеп қырады.,1
122,террористік тобынан толық шығарылды. Тағы екі ауыл алға жылжуда. #ISIS,1
123,Тапсырыс : қайтыс болғандар туралы #Iraq әскерлерінің казармаларының өртенуі және олардың көмегімен тетіктердің жойылуы + өлім. # Рамади https://t.co/7e1X2g4sTg,1
124,# Ассад өлтіру үшін үлкен сілтемелер. #IISriy #Salamiyah жолында #ISIS буктурасында 20 адамды өлтірді https://t.co/OZQceQ6ZK0,1
125,"# Ресей | n соғыс ардагерлері сапармен кетеді # Алеппо ауылында кластерлік бомбалармен ауырады, жаңа адамдар қайтыс болады, белсенділер #Syria https://t.co/9kV0SMexMq",1
126,"Жақсы, FSA + мүшелерін жоспарлы түрде жоспарлап, өмір сүру үшін өмір сүру үшін кешкі кесте жасайды, бұл ISIS-ке қызмет көрсету мүмкіндігі.",1
127,Трамп: Мұсылмандыққа ұнаған адамның өлімін өлтіруіміз керек (ВИДЕО) - https://t.co/8xUB6YXxja,1
128,@MarkRuffalo @newzalrts сұрақ: сен шынайы журналистикамен айналыса аласыз ба? АҚШ перзентхананы #AbuKamal https бомбалар болады ...,1
129,"Өмірменен де, онсыз да оқуды! Керуен жазбен де, онсыз да жалғасады! Жеңіс - өлім, жеңілдік! ...",1
130,Тағы да # Дарайя танкі. Барлық қарсыластар жарысы басталды. # Ассад .. #Syria https://t.co/3UUhb8tE97,1
131,Мусса әл-Омар твиттерде: Ханазер үнсіз сойылады. : P https://t.co/BFK0BADlz6,1
132,Үміт Нусра есектерін анықтауға көмектеседі & amp; біртұтас мүмкіндікті жасау .. # Ханасир - бұл баршаның пайдалы қызметі #ISIS #Syria https: /…,1
133,"Мүмкіндік 5-ші немесе 6-шы рет; жұмбақ миноматтар & amp; Осы аптада # Латакия қаласына зымырандар түсуге болмайды, # Ассад БАҚ # Сирияға қарсы емес",1
134,"БИГ! Оларға Латакия ауылындағы жалпы жиналысқа автомобильмен бомба қойылды, нысанаға алынды. ",1
135,Афганистанға 10 000 АК-47 мылтығын салып жатыр .. !!,1
136,@CTstudies-тің анықтамасы #ypg террористік тобы қайтады ... https://t.co/kwZkcrKRf9,1
137,Терроризм: Батыс алдында тағзым етпеу.,1
138,Революциялық түзету протекционисттері # Ассадты #Khanaisr & amp; #YPG террористік тобы # Шадади-ден гөрі ...,1
139,барлық сунниттік мұсылмандарды сирия кәпірлері деп жариялайды,1
140,# ISIS-пен бөлісу #Aamaq ақпараттық агенттігі кешегі есеп беру мәліметтерін растайды #Israel | мен реактивті бомбалар #Sinai ,1
141,Мен осындай құпия кездесулерге жауаптымын.,1
142,Багдадта тәжірибе  #Iraq суицид Күні,1
143,Иә; Мен бұны алдыңғы жақтан көрдім. Түркияға кіру мүмкіндігінің жоқтығы үшін .. Түркияның құны төленеді .. @studies_center,1
144,"Жаңалықтарды тыңдаушыларға АҚШ пен АҚШ арасындағы қарым-қатынас, АҚШ-тың көмегіне сүйенетін ақымақ фанаттарға қол сұғу туралы хабарлама жіберілді. https://t.co/Ypxa80vlP7",1
145,"АҚШ-пен қарым-қатынас «#ISIL» -ке қарсы «риясыз», есеп # Обама. ",1
146,"#YPG арасындағы мылтық жинады ; олар #ISIS назарларыңызбен танысып, сөйлесіңіздер, олардың алғашқы қараша-жарақтары қашаннан келеді? !! http ...",1
147,сириа-дағы наразылықтар бітімге келмек халықтық жұмыс күші «Джабхат аль Нусра» және режиммен бітіспейміз деп ұрандап жатыр,1
148,# Джулани: «Ислам күрескерлері» # Дамаскты «жаулап алады»,1
149,"Біз басымыздан бастаймыз, соңына қарай аймағымызға барамыз",1
150,"Осад Асадтың антиппериализм туралы ұрық соғысы троллері қайнаған ба? Сізге имприалистермен келісім жасалып, нәтижелермен қамтамасыз етіледі",1
151,"бомбалау, өлім-жітім және өлім-жітім # Сауд Арабиясы-АҚШ-тың қауіпсіздігіне кепілдік. https://t.co/YLBaHMfh85 https: //t.…",1
152,Сәлем. Сізге ере аласыз ба? Сізге хабарлама жазу керек. Рахмет,1
153,"Менің жақсы адамым # Бағдаттағы # Тахрир алаңына жеңілдікпен қарсы тұру, қарсылыққа қарсы, қарсыластарға қарсы #Iraq 📸 https://t.co/mnIVQA3Nw5 ",1
154,Үлкен жарылыс & amp; Биік Абяд-да #VISA фонында #ISIS топтары мен қарулы қақтығыстар & amp; #YPG содырлары .. #Syria https://t.co/7eGZ0BW0mF,1
155,"әрдайым сіздің жақын жерлеріңізге жақын кіріп кетеді, олардың арасынан трибуналарға өлім жіберіледі. ",1
156,# АҚШ-тың заңды коалициясы Талл-Абядякта жұмыс істейтін болады... #ISIS #Syria,1
157,ТалАбядта үлкен қырғын менің орнымда. ISIS кейін қалаларға хаос әкелуді бастады & amp; тікелей ұшақтарға қайтып келу мүмкін емес,1
158,"Мадхалис екіжүзді емес, олар күмәнсіз анық куфтар.",1
159,АҚШ-тың коалициясы #YPG террорлық тобының шығысындағы #Suluk анықталған бомбалар болады .. #ISIS #Syria #TwitterKurds,1
160,«кәпірлерді» өлтіруді күтеді. ИШИМ аймағымыздағы демократияға қарсы тұру дегеніміз - біздің өмірімізді тұрақтандыру.,1
161,Контрабанда оқиғасы: бір адаммен жақынырақ танысуға болады https://t.co/AvqeDdET6X арқылы @MiddleEastEye,1
162,"Аяқтану лақтырыңыз, граната лақтырыңыз! https://t.co/UcIniVAhKw",1
163,Қарулы қараған адамдар # Микадия орталық емдік орталыққа барады. Әлі бір тұтқынның ізі кеткені белгісіз .. #Iraq,1
164,#ISIS бомбалаушыдардың ең жақсы бомбалары жарылады #Diyala шииттердің содырлары басқарушылары мен командирлерінің орасан зор шығыны ...,1
165,"Алеппо: бомбалауда біраз кідіріс естіледі, адамдар режимінің құлдырауына байланысты қымбатшылыққа қайта жол беріледі https://t.co/OsVV5K…",1
166,Қарулы барлау тобының бригадири Али Нуманан # Хадитада бомба арқылы өлтірілуде. #Iraq,1
167,"Менің ізбасарларым 43 елде: Мальдив аралдары (80%), АҚШ (5%) ... https://t.co/5KlvSQHAd8 Тегін картаңызды біліңіз! https://t.co/IWBCiFaNtz",1
168,3a'idh alqarnee Филиппинде оққа ұшу .. Есте сақтаңыз ...,1
169,берілген мүвахидтерден кек алады ...,1
170,"Түрік армиясы Сізреде әлі де геноцид жасау, күрдтер, қарулы адамдар өлтіруде. #TwitterKurds https://t.co/xGFdrF4upd",1
171,Жаңадан келгендер. # Либия милиционерлерінің үй бункері жолдарда жүре алады. мен өзімнің жақсы тілегімді білдіретін «Өлім палатасы» https://t.co/zl2J3SHJMs,1
172,"Хашд ар-Рафидиге тиесілі газеттердегі бұлси, өкінішке орай SPG9 зымырандары бар. https://t.co/nNwdSAaZdV",1
173,BenGardane-де белгісіз қарулы топтармен танысады https://t.co/dMnixCUSM1,1
174,"Қарсы : батыс жақта жиналған жақсы және күшті, достық қарым-қатынас 2 мүшеден тұрады, 40 адам өледі, есептері жараланған. #Iraq #ISIS # сәттілік",1
175,#Exclusive #Video #Tunisia | n Армия # BenGardane-де белгісіз қарулы топтарды қарауды тарату https://t.co/dMnixC…,1
176,"100,000 Куфандар билеушісіне қарсы Зайд бин Али Бин Хуссейнге қарсы күреске шақырылды, 10 000 қол қойып, тек 219-лық соғысқа қарсы",1
177,"Джаман жоспары: АҚШ / Батыс / Ресейдің әскери топтары соғыс режимін келіседі, ИС пен ДжН-ге қарсы, қарсы ойын, жеңіс, сайлауларды жеткізу қалаларын ұсынады.",1
178,"Сіздердің отбасыларыңызбен келіссөздер өткізілсе, келіңіз, неге 1-ші орынға соғыс, 4,70 000 сириялық өлім жазасы?",1
179,# Фаллужаның Амирия ауданында #US abraham танкі жойылады.,1
180,Екі әйел #Bayrampasa / # Стамбулдағы полиция органдарына 2 гранатасы мен автоматтандырылған мылтықтарымен кірісті https://t.co/JGukQ2845i,1
181,"Егер сіз ИШ бүлікші командирін өлтірсеңіз, олар Хавариж мужахидтері туралы мәліметтер өлтірілген деп айғайлады & amp; Асад әскерін қайта қарау https://t.co/2CAXKmRnDV",1
182,"шабындықта демалса, христиан крест көтереді & amp; Кросс жеңіске жетті, мұсылман оны өлтірді & amp; күрес басталады",1
183,"Давла Ханазердің жолын кесіп, жақынырақ танысу Алепподағы «тәжікгерлер» деген тақырыпты оқу кезіндегі күндізгі кезекті күтті және кофеқорларды өлтіруді үйретті https://t.co/pMIVAdDoBV",1
184,"Олар PlayStation ойнауды қабылдауды қабылдайды және ISIS, ISIL, Daash және басқа да елдермен күресу!https://t.co/NosAi4svG8",1
185,"соңғы өзбек ағайындар мерейтойын өлтіргені үшін. Мен, өзіммен бірге 3/3 жолға шықтым",1
186,Үлкен жарылыс #Tarmiyaah және одан әрі мылтықтың күшті атысымен басталды .. #Iraq,1
187,тек ливияда саудалық мылтықпен соғысып жатыр,1
188,Идлибтегі Даруш ауылындағы Нусраға қарсы наразылық. Тұрғындар ҚҚА-ны қалаға кіруге шақырады. #Syria https://t.co/1ZgN…,1
189,АҚШ-қа ауғандықтарды бомбалау үшін базаны жіберу арқылы.,1
190,Сізге #Iran немесе #Turkey & amp; # Сирия-бір-бір айлық өлім жазасы ,1
191,Өлім үшбұрышы: # Ханасер # Итрия # Саламия. Өлі #ISIS амбициясы & amp; # Асадтың армиясына көмектесу .. # Сирия https://t.co/im1onVEaoq,1
192,# Саудиялықтар мен студенттердің операциялары .. #USA ескертеді # Хезболла # Израиль оңтүстікке қарай соғыс аймағында # Лебанон .. https://t.co/KR2G0gYg15,1
193,Қазір Мосулға соғысқа қатысқан құмды дауылшылар туралы хабарлар .... #Iraq #ISIS,1
194,20 бүлікшілердің бір-бірімен соғысы басталды # Азазда,1
195,# АҚШ басқарған коалиция солтүстігінде # шиамиттік полиция конвойын бомба болатын болады деп есептейді куәгерлер .. # Анбар #Iraq #ISIS,1
196,Бұл «Жаңа Сирия армиясы» АҚШ пен Иорданияға тек ISIS және «Аль-Каидаға» қарсы тұру ,1
197,Батыс Сирияны федерациямен қамтамасыз ету # Сириядағы атысты келісім. Бұл мұсылмандарды азат етіңіз және жақындайсыз & amp; үлкену. # 3marmar1924 https: /…,1
